match_id,ally_champs,enemy_champs,win
NA1_5182021239,"['TahmKench', 'Graves', 'Syndra', 'Ashe', 'Lulu']","['Malphite', 'LeeSin', 'Viktor', 'Hwei', 'Senna']",0.0
NA1_5181466211,"['KSante', 'Nidalee', 'Yone', 'Ezreal', 'Karma']","['Aatrox', 'Karthus', 'Pyke', 'Draven', 'Nautilus']",1.0
NA1_5181393208,"['Ryze', 'Viego', 'Ekko', 'Ashe', 'Blitzcrank']","['Gragas', 'LeeSin', 'Azir', 'Ezreal', 'Braum']",1.0
NA1_5181357840,"['Gragas', 'Graves', 'Syndra', 'Kalista', 'Thresh']","['Renekton', 'Viego', 'Galio', 'Rell', 'Hwei']",1.0
NA1_5181319903,"['Viktor', 'Kindred', 'Corki', 'Syndra', 'Blitzcrank']","['Kalista', 'Graves', 'Sylas', 'Jinx', 'Thresh']",0.0
NA1_5181281833,"['Aurora', 'Kindred', 'Azir', 'Aphelios', 'Braum']","['Jax', 'Qiyana', 'Taliyah', 'Jinx', 'TahmKench']",0.0
NA1_5181240594,"['Yone', 'Nidalee', 'Kassadin', 'Draven', 'Skarner']","['Gnar', 'Nunu', 'Corki', 'Swain', 'Sona']",1.0
NA1_5181207178,"['Gragas', 'Skarner', 'Yasuo', 'Kaisa', 'Maokai']","['Gnar', 'Lillia', 'Corki', 'Jinx', 'Poppy']",0.0
NA1_5181156739,"['Gnar', 'Hecarim', 'Galio', 'Hwei', 'Rell']","['Irelia', 'Nunu', 'Viktor', 'Draven', 'Leona']",1.0
NA1_5180463355,"['Camille', 'Ivern', 'Azir', 'Samira', 'Rell']","['Jax', 'Karthus', 'Naafiri', 'Kayle', 'Poppy']",1.0
NA1_5180423908,"['Renekton', 'Udyr', 'Galio', 'Corki', 'Nami']","['Ambessa', 'MonkeyKing', 'Viktor', 'Jinx', 'Janna']",0.0
NA1_5180375126,"['MonkeyKing', 'LeeSin', 'Azir', 'Morgana', 'Shaco']","['Jayce', 'Viego', 'Akali', 'Zilean', 'Soraka']",1.0
NA1_5180342753,"['Renekton', 'LeeSin', 'Azir', 'Ezreal', 'Bard']","['Rumble', 'Gragas', 'Yasuo', 'Ashe', 'Pyke']",1.0
NA1_5180312691,"['Garen', 'LeeSin', 'Galio', 'Varus', 'Lux']","['Brand', 'Taric', 'Viktor', 'Ahri', 'Maokai']",1.0
NA1_5180282545,"['Viktor', 'DrMundo', 'Syndra', 'Jinx', 'Thresh']","['Maokai', 'Viego', 'Zed', 'Brand', 'Nami']",1.0
NA1_5178796471,"['Jax', 'Nidalee', 'Yone', 'Hwei', 'Alistar']","['Gnar', 'Kindred', 'Sylas', 'Jhin', 'Karma']",0.0
NA1_5178744353,"['Gnar', 'Zed', 'Syndra', 'Tristana', 'Neeko']","['Garen', 'Lillia', 'Riven', 'Ezreal', 'Hwei']",0.0
NA1_5178709970,"['Ambessa', 'Graves', 'Galio', 'Draven', 'Leona']","['Volibear', 'JarvanIV', 'Katarina', 'Ezreal', 'Braum']",0.0
