match_id,ally_champs,enemy_champs,win
NA1_5236840844,"['Kennen', 'Kaisa', 'Kalista', 'Graves', 'MissFortune']","['Ziggs', 'Chogath', 'Kennen', 'Rakan', 'Khazix']",0.0
NA1_5236797387,"['MissFortune', 'Kalista', 'Aatrox', 'Kaisa', 'Garen']","['Ezreal', 'Chogath', 'MonkeyKing', 'Poppy', 'Hecarim']",0.0
NA1_5236751116,"['Cassiopeia', 'Garen', 'Kalista', 'Kaisa', 'MissFortune']","['Smolder', 'Malphite', 'Warwick', 'Taric', 'Hecarim']",0.0
NA1_5236729374,"['Kalista', 'Pantheon', 'Sona', 'Kaisa', 'MissFortune']","['Lucian', 'Annie', 'Poppy', 'Leona', 'Hecarim']",0.0
NA1_5236715928,"['Graves', 'Kaisa', 'Garen', 'Kalista', 'MissFortune']","['MissFortune', 'Rumble', 'Cassiopeia', 'Sona', 'Warwick']",0.0
NA1_5236667469,"['Garen', 'Kaisa', 'Sivir', 'Cassiopeia', 'MissFortune']","['Varus', 'Smolder', 'Rumble', 'Malphite', 'Ekko']",1.0
NA1_5236655934,"['Jayce', 'Kalista', 'MissFortune', 'Garen', 'Kaisa']","['Kaisa', 'Ahri', 'Yorick', 'Renata', 'Sejuani']",0.0
NA1_5236642308,"['Graves', 'Kaisa', 'MissFortune', 'Kalista', 'Cassiopeia']","['Tristana', 'Annie', 'Sett', 'Alistar', 'Yorick']",0.0
NA1_5236632400,"['Kalista', 'Kaisa', 'Graves', 'MissFortune', 'Jayce']","['Varus', 'Ziggs', 'Irelia', 'Zyra', 'Volibear']",0.0
NA1_5236617584,"['MissFortune', 'Kaisa', 'Jinx', 'Kalista', 'Graves']","['Lucian', 'TwistedFate', 'Yorick', 'Leona', 'Volibear']",0.0
NA1_5236610121,"['Graves', 'Jayce', 'Kalista', 'Kaisa', 'MissFortune']","['MissFortune', 'Irelia', 'Cassiopeia', 'Braum', 'Vi']",0.0
NA1_5236596045,"['Kalista', 'Kaisa', 'Graves', 'Garen', 'MissFortune']","['Caitlyn', 'Ziggs', 'Malphite', 'Annie', 'Hecarim']",0.0
NA1_5236563690,"['Kaisa', 'Graves', 'Jayce', 'MissFortune', 'Kalista']","['Ezreal', 'TwistedFate', 'Cassiopeia', 'Annie', 'Shyvana']",0.0
NA1_5236545420,"['MissFortune', 'Kalista', 'Orianna', 'Kaisa', 'Jayce']","['Varus', 'Ahri', 'MonkeyKing', 'Blitzcrank', 'Sejuani']",0.0
NA1_5236539324,"['Cassiopeia', 'MissFortune', 'Graves', 'Aurora', 'Kaisa']","['Ziggs', 'Ekko', 'Malphite', 'Sona', 'MonkeyKing']",0.0
NA1_5236524654,"['Orianna', 'Kaisa', 'Kennen', 'MissFortune', 'Cassiopeia']","['Ashe', 'Annie', 'MonkeyKing', 'Lux', 'Volibear']",0.0
NA1_5235889071,"['MissFortune', 'Mordekaiser', 'Zeri', 'Kaisa', 'Ekko']","['MissFortune', 'Lissandra', 'Vayne', 'Lulu', 'XinZhao']",0.0
NA1_5235278004,"['Smolder', 'MissFortune', 'Mordekaiser', 'Vayne', 'Kaisa']","['Varus', 'Kennen', 'Mordekaiser', 'Taric', 'Khazix']",0.0
NA1_5234695046,"['Volibear', 'MissFortune', 'Smolder', 'Kaisa', 'Vayne']","['Sivir', 'Tristana', 'Nasus', 'Lulu', 'XinZhao']",0.0
NA1_5234218999,"['MissFortune', 'Kaisa', 'Vayne', 'Smolder', 'Cassiopeia']","['Ashe', 'Galio', 'Cassiopeia', 'Annie', 'Amumu']",0.0
